 TIME                    	GasUsage                 	heating_signal           	setpoint                 	Tin                      	occ                      	
 HOURS              	kJ/hr               	NAV                 	NAV                 	NAV                 	NAV                 	
  +1.7166666666666668E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.1000000000000000E+01	  +2.3699049841958910E+01	  +1.0000000000000000E+00	
  +1.7333333333333332E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.3668677917098883E+01	  +1.0000000000000000E+00	
  +1.7500000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +7.9999999999999986E+01	  +2.3626781624112603E+01	  +1.0000000000000000E+00	
  +1.7666666666666668E+01	  +5.3846526440942420E+04	  +1.0000000000000000E+00	  +4.1000000000000000E+01	  +2.3606463747400745E+01	  +1.0000000000000000E+00	
  +1.7833333333333332E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.3708107789303906E+01	  +1.0000000000000000E+00	
  +1.8000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.3802651029544080E+01	  +1.0000000000000000E+00	
  +1.8166666666666668E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.3791721725217208E+01	  +1.0000000000000000E+00	
  +1.8333333333333332E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +8.0000000000000000E+01	  +2.3778691878887862E+01	  +1.0000000000000000E+00	
  +1.8500000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +7.7000000000000000E+01	  +2.3757868451365983E+01	  +1.0000000000000000E+00	
  +1.8666666666666668E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.3747888811571233E+01	  +1.0000000000000000E+00	
  +1.8833333333333332E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +8.0000000000000000E+01	  +2.3730277349230569E+01	  +1.0000000000000000E+00	
  +1.9000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.1000000000000000E+01	  +2.3745741604522784E+01	  +1.0000000000000000E+00	
  +1.9166666666666668E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.4000000000000007E+01	  +2.3763558676800027E+01	  +1.0000000000000000E+00	
  +1.9333333333333332E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +5.9999999999999993E+01	  +2.3741131261541327E+01	  +1.0000000000000000E+00	
  +1.9500000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +5.3000000000000000E+01	  +2.3697000723729381E+01	  +1.0000000000000000E+00	
  +1.9666666666666668E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +7.3000000000000000E+01	  +2.3660262712050592E+01	  +1.0000000000000000E+00	
  +1.9833333333333332E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +7.2000000000000000E+01	  +2.3648557770586567E+01	  +1.0000000000000000E+00	
  +2.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +7.0000000000000000E+01	  +2.3622126111655525E+01	  +1.0000000000000000E+00	
  +2.0166666666666668E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +7.9000000000000000E+01	  +2.3581647673795963E+01	  +1.0000000000000000E+00	
  +2.0333333333333332E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.7000000000000000E+01	  +2.3552806629292967E+01	  +1.0000000000000000E+00	
  +2.0500000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +8.0000000000000000E+01	  +2.3539893862759026E+01	  +1.0000000000000000E+00	
  +2.0666666666666668E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +5.2000000000000000E+01	  +2.3526893597173085E+01	  +1.0000000000000000E+00	
  +2.0833333333333332E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.3514455023720995E+01	  +1.0000000000000000E+00	
  +2.1000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.1000000000000000E+01	  +2.3473765461111405E+01	  +1.0000000000000000E+00	
  +2.1166666666666668E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.1000000000000000E+01	  +2.3433498456591600E+01	  +1.0000000000000000E+00	
  +2.1333333333333332E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +7.5000000000000000E+01	  +2.3424489963138548E+01	  +1.0000000000000000E+00	
  +2.1500000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +8.0000000000000000E+01	  +2.3392073336386236E+01	  +1.0000000000000000E+00	
  +2.1666666666666668E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +6.8000000000000000E+01	  +2.3349387732135032E+01	  +1.0000000000000000E+00	
  +2.1833333333333332E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +7.3000000000000000E+01	  +2.3330958332024938E+01	  +1.0000000000000000E+00	
  +2.2000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +7.9999999999999986E+01	  +2.3289565323017545E+01	  +1.0000000000000000E+00	
  +2.2166666666666668E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.3236748773553927E+01	  +1.0000000000000000E+00	
  +2.2333333333333332E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.9999999999999993E+01	  +2.3211124969105239E+01	  +1.0000000000000000E+00	
  +2.2500000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +8.0000000000000000E+01	  +2.3195385545794249E+01	  +1.0000000000000000E+00	
  +2.2666666666666668E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +7.9000000000000000E+01	  +2.3187340620098510E+01	  +1.0000000000000000E+00	
  +2.2833333333333332E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +5.3000000000000000E+01	  +2.3178329846165244E+01	  +1.0000000000000000E+00	
  +2.3000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.5000000000000000E+01	  +2.3133382493618530E+01	  +1.0000000000000000E+00	
  +2.3166666666666668E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +5.1000000000000000E+01	  +2.3088027598899345E+01	  +1.0000000000000000E+00	
  +2.3333333333333332E+01	  +6.1857544152978764E+04	  +1.0000000000000000E+00	  +4.0000000000000000E+01	  +2.3086489544917100E+01	  +1.0000000000000000E+00	
  +2.3500000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +7.7000000000000000E+01	  +2.3209761340309313E+01	  +1.0000000000000000E+00	
  +2.3666666666666668E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +8.0000000000000000E+01	  +2.3246253340609972E+01	  +1.0000000000000000E+00	
